Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
ZNF708_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.86	0.00	ZNF254;TPTE2P2;NREP;LYPD5;ZNF8;PPP1R9A;FAM221A;HCAR1;ZNF506;EFCAB2;KIAA1841;CEP170;SRGAP3;MORC4;CXADR;ZNF480;ST8SIA2;SOX11;KLF8;GSTA4;SESTD1;ZNF737;ZNF714;C18ORF32;TLL2;SSBP2;CD200;ZNF431
BAZ2A_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.87	0.00	POM121;AKNA;MAML1;INPPL1;PIK3CD;ETS1;SMG5;PTBP1;C6ORF106;PPP6R1;ZMIZ2;AKT2;CMTR1;WDTC1;DENND4B;ARHGEF18;ATP11A;SREBF2;EML3;WNK1;PACS1;CARM1;CCDC88C;TET3;MAPKAPK2;RAPGEF1;ERF;ENGASE
ZNF692_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.87	0.00	ZNF276;POM121;IDUA;INPPL1;MROH1;DPP7;PPP6R1;ZMIZ2;PCED1A;RHPN1;HSF4;PRAME;D2HGDH;VARS2;CMTR1;B4GALNT4;NSUN5P1;DENND4B;TMEM198B;WASH7P;DGKZ;SREBF2;EML3;PFKL;SLC6A8;RPUSD1;SUGP2;ENGASE
ZNF518B_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.88	0.00	DCLRE1C;GPR22;PPP1R9A;LIN7C;N4BP2L2;LCLAT1;STRN3;RAB21;ZNF808;ZMYM4;KIAA1841;REV3L;ZNF286B;KPNA4;ARID2;C3ORF14;SOX5;ZNF143;ZNF460;CXADR;TSC22D2;SOX11;ENAH;IBTK;DAB1;TBL1XR1;TBC1D24;TCF4
MLX_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.88	0.00	CD63;GRN;MVP;GLRX;POLD4;CASP7;PNP;TMEM109;ABCF2;ABCD1;SLC39A4;S100A10;ATP6V0E1;TPM3;CCDC137;TMEM176B;GSS;ZDHHC12;ANXA11;JOSD2;KIAA2013;MRPS7;SCAMP3;CEACAM1;SPCS1;TMEM54;CIAPIN1;RNF121
DUS3L_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.88	0.00	SLC38A10;PKMYT1;WDR46;ZFP36L2;LIMD2;PTBP1;DPP7;IRAK1;PPP6R1;HLX;PES1;TOP1MT;SDF4;MGAT2;MAF1;NFE2;CLUH;USP5;PTGES2;DOHH;ATAD3A;DGKZ;EML3;PFKL;RPUSD1;UBE2S;SRSF2;RNF220
ZBTB33_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.89	0.00	ASNSD1;ZFAND6;MTRNR2L8;RGPD2;ZNF24;DOCK11;ZMYM4;KIF5B;GRPEL2;MBIP;RAB6A;EIF4B;SUZ12;USP47;PBRM1;ELOVL2;SEMA6D;ZFP91;ATP11B;MOB3B;ENOX1;IBTK;SERBP1;TET3;UBA2;AAGAB;NHLRC2;NEMP1
TFAP2B_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.51	0.00	HOMEZ;NRN1;GALNT13;DPY19L2P4;NKAP;NEXN;SEZ6L2;KLC1;CALB2;PEG10;KIAA1841;KIF21A;MAP3K9;RBFOX2;HSPA4;PCGF3;H3F3A;ELMOD1;EBF1;PBX3;DCLK2;RMDN2;FAM133A;PGM5P2;GAP43;SBK1;PCDHB16;NACAD;KIAA1958
FOXD4L5_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.51	0.00	SHC4;CRYBB2P1;ATP10B;LCLAT1;CCDC144A;ZNF280D;ATXN3;EPB41L4A;KIAA1328;APOL6;TRIM4;PGM5;MORC4;FCRL5;ZNF480;STARD8;ABCA9;TEX35;ARHGAP28;TPTEP1;DDHD1;C12ORF76;SUMF1;KLF8;PGM5P2;RPS4XP5;TEX9;WDPCP;FGF13
UBR4_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.89	0.00	GTF3C1;MACF1;POM121;TRIO;MAML1;MAST2;INPPL1;SMG5;PTBP1;MPRIP;C6ORF106;PPP6R1;NACC1;PLXNA1;CMTR1;USP24;CLUH;ATP11B;ATP11A;SREBF2;NPLOC4;RALGAPB;WNK1;POLR1A;FASN;CARM1;STRN;SUGP2
PRDM4_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.90	0.00	GTF3C1;POM121;TRIO;TMEM63B;MAML1;MAPKAP1;MEPCE;SMG5;APH1A;IRAK1;TNKS2;PES1;TLK2;CMTR1;EIF4B;WDTC1;KCMF1;F8A1;ZFP91;ATP11B;YRDC;RALGAPB;CARM1;TET3;MAPKAPK2;RAPGEF1;STRN;CERS2
THAP7_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.91	0.00	MRPS12;PCTP;CCDC106;UBE2J2;COMT;PKMYT1;NT5C;PTBP1;DPP7;PES1;PRADC1;C9ORF16;PRAME;FADD;MAF1;AAMP;POLR2J;NAA10;PTGES2;ZDHHC12;JOSD2;ATAD3A;GCAT;SIGIRR;RPUSD1;UBE2S;RPP25;ABCG1
PBRM1_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.91	0.00	MACF1;USP37;CELF1;MYCBP2;NREP;ZNF24;ZNF8;KIAA1328;ZMYM4;REV3L;SACS;NCAM1;CEP170;PAK3;CLASP1;USP24;RBFOX2;ZNF460;ST8SIA2;SOX11;DICER1;PPP2R3A;MEX3C;ZNF714;PHIP;MDM4;TCF4;ZNF532
ZNF195_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.91	0.00	NREP;GTF2E1;NAA25;ZNF286B;NUDT15;ARID2;MTPAP;ZNF121;SEMA6A;CXADR;NLGN4X;ZNF480;ZGRF1;SOX11;FAM136A;HAUS1;ENAH;MSH2;GSTA4;TBL1XR1;ZNF714;TBPL1;TDGF1;SRSF7;ZNF532;CD200;CCDC150;ZNF431
ZNF337_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.52	0.00	C11ORF95;CEP295NL;CCL4L2;FAM13A;HTR2B;BHLHE22;ZNF24;TMEM187;FAM168A;MAT2A;CCL4;AP002884.2;C21ORF91;ZNF248;POLK;IER2;RRP7BP;NLGN4X;TIGD7;PHF10;NFATC3;DIO2;THEMIS;SEZ6L;ADAM18;RPS4XP5;SESTD1;IL1RAPL1;PXYLP1
ZNF418_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.91	0.00	ZNF254;ZNF492;SMG1P5;NREP;N4BP2L2;LRP6;ZNF605;ZNF286B;ZNF586;ZNF121;CXADR;ST8SIA2;CTPS2;KLHL23;ARHGAP28;SHISA2;USP28;MSH2;ZNF714;TBPL1;TAF7;MDM4;TCF4;PRKD1;KIAA1958;SSBP2;ZNF532;BMPR1A
RAX_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.52	0.00	CRB2;HOMEZ;PLGLB1;PCTP;TMEM187;SULT1A1;NCKIPSD;EFS;KIAA1841;RPSAP18;ZSWIM7;S1PR2;PATZ1;RRN3P3;ZNF521;CENPV;PCGF3;P3H4;MRPS7;C9ORF116;NMRAL1;SFRP2;SLC6A8;SBK1;GFOD1;TBCE;TYRO3;ANKRD18B;TMEM9
DBP_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.12	0.00	EIF4A1;ZBTB8A;EEF1A1P5;USP27X;HEPACAM;PCSK6;ZNF8;SULT1A1;INPP5B;FAM221A;DPP6;ZNF506;EEF1A1P13;TMEM107;KCNJ2;KCNJ3;POLR2J3;CTC1;LRRC69;COL25A1;GLP2R;KCNJ15;POU2F3;EML2;NR5A2;ZNF639;ZNF638;SPIRE2;PMS2P2;SIK1;CDKL1;BMPR1A
ZNF528_human_tf_ARCHS4_coexpression	33/299	0.97	1.00	0.00	0.17	0.38	0.08	0.00	SHC4;ZNF8;N4BP2L2;CCDC144A;NPAS3;ZNF280D;FAM221A;KIAA1328;HCAR1;ZNF506;EFCAB2;ZNF286B;SRGAP3;USP24;MORC4;TSC22D2;ABCA9;TEX35;ARHGAP28;DDHD1;SEZ6L;C12ORF76;KLF8;EEPD1;RPS4XP5;HEATR5A;TEX9;ZNF639;WDR5B;HYLS1;WDPCP;MDM4;TCF4
ZNF250_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.53	0.00	CRYBB2P1;TPTE2P2;NREP;ZNF8;LIN7C;LCLAT1;FAM221A;PDCD6IPP2;HCAR1;ZNF506;KIAA1841;ZNF286B;ZNF624;ZNF283;SOX11;ARHGAP28;AGBL4;RPS4XP5;GSTA4;ZNF714;C18ORF32;FXYD6;MDM4;ZNF556;FGF13;SSBP2;CD200;UBE2Q2P2;ZNF431
ZNF253_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.93	0.00	ZNF254;NREP;LIN7C;KRBOX4;STRN3;HCAR1;KIAA1841;ZNF286B;MBIP;MTPAP;ZNF121;NLGN4X;ST8SIA2;SOX11;GULP1;GSTA4;TBL1XR1;ZNF737;ZNF714;PTGES3L;PXYLP1;FGF13;SSBP2;TDGF1;ZNF532;CD200;UBE2Q2P2;RPL3P2
NFAT5_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.05	0.00	MACF1;TRIO;CRYBG3;MYCBP2;CTNND1;PTPRM;PTPRJ;MTRNR2L8;NLK;MTRNR2L1;SLC5A3;ELK4;ATXN3;KIAA1328;MPRIP;COBLL1;REV3L;CLASP1;POLR2J3;USP24;MORC4;TMOD3;STARD9;ZFP91;ATP11B;DICER1;ATP11A;TANC2;RALGAPB;WNK1;SLMAP;WDPCP;STRN;DGKH
DEPDC5_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.12	0.00	VIPR1;CIITA;AKNA;CEP295NL;DOCK8;MYCBP2;IKZF3;N4BP2L2;KIAA0040;CCDC144A;ZNF280D;KIAA1328;CNTRL;C6ORF203;ZNF669;DENND2D;FCRL5;SP110;WSCD2;TEX35;CDKAL1;DDHD1;USH2A;MCOLN2;HEATR5B;TEX9;CCDC88C;ERCC6;CRLF3;FGF13;MCTP2;MS4A1
ZZZ3_human_tf_ARCHS4_coexpression	28/299	1.00	1.00	0.00	0.48	0.76	0.95	0.00	KCNC4;LIN7C;ARHGAP5;SLC5A3;N4BP2L2;PPP4R2;KIAA1841;NAA25;CHML;ARID2;EIF4B;EPM2A;USP24;ZNF121;KL;RBFOX2;ZNF460;LARP4P;POLA1;MTAP;IBTK;TBL1XR1;SLMAP;PHIP;MTFR1;TMEM9;ITGB1BP2;BMPR1A
ZNF549_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.54	0.00	CRYBB2P1;TPTE2P2;ZNF8;ZNF321P;CCDC144A;INPP5B;FAM221A;ATXN3;EPB41L4A;KIAA1328;PDCD6IPP2;HCAR1;ZNF506;SRGAP3;MORC4;ZGRF1;ABCA9;TEX35;AC083899.1;TRPV3;ARHGAP28;C12ORF76;ZNF714;PTGES3L;WDPCP;MDM4;ZNF556;FGF13;ZNF431
NFX1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.54	0.00	SHC4;CRYBB2P1;C2CD2;ATP10B;LCLAT1;CCDC144A;ZNF280D;ATXN3;EPB41L4A;KIAA1328;HCAR1;TRIM4;MORC4;FCRL5;ZNF480;STARD9;ABCA9;TEX35;ARHGAP28;TPTEP1;DDHD1;C12ORF76;SUMF1;KLF8;PGM5P2;RPS4XP5;TEX9;WDPCP;FGF13
GATAD1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.55	0.00	ZBTB8A;CRYBB2P1;ATP1A4;ATP10B;ZNF8;CCDC144A;ZNF280D;ADAMTS4;FAM221A;ATXN3;EPB41L4A;KIAA1328;PDCD6IPP2;HCAR1;ZNF506;SRGAP3;POLR2J3;MORC4;STARD9;ABCA9;ARHGAP28;CBFA2T2;SSTR2;PGM5P2;FAM153C;SPIRE2;WDPCP;ZNF556;ZNF431
ZNF273_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.55	0.00	ZBTB8A;CRYBB2P1;NKAP;ATP1A4;TPTE2P2;LYPD5;ZNF8;ADAMTS4;FAM221A;PDCD6IPP2;HCAR1;TCTN2;ZNF506;EFCAB2;FAM177A1;MFSD4B;BCAS4;ZNF283;LAMB4;AC083899.1;FAM153C;TSPAN19;ZNF714;SPIRE2;EBPL;WDPCP;ZNF556;ZNF431;TMEM45A
KLF1_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.05	0.00	PNMT;HACD1;CMAS;NATD1;MPV17L2;GMPR;ICAM4;N4BP2L1;ERFE;TPGS2;TMEM187;ZFP36L1;FAM216A;NT5C;KBTBD12;MYC;C9ORF16;FADD;MAF1;RILP;NUDT14;KCNH2;NFE2;RASSF7;JOSD2;SPTB;GCAT;RCL1;SIGIRR;TAL1;NEURL1;SRSF2;HAGH;RPP25
ZNF17_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.55	0.00	FAM49B;MTRR;ASNSD1;KCNC4;ARL1;TPTE2P2;MSANTD4;MIEN1;NFKBIZ;PGGT1B;NAA25;GABPA;ZNF586;PRPF38A;TMEM150A;ZNF460;INTS2;TSC22D2;TC2N;KNSTRN;POU2F3;SLC16A14;GSTA4;TBL1XR1;MAK;PPP1R1B;BMP2K;TCF4;BMPR1A
SHOX_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.13	0.00	GPM6A;ZBTB8A;USP27X;HEPACAM;CBWD3;CACNA1D;MTND4P24;TTC28;SULT1A1;FKBP9P1;DPP6;RPS6KA6;PLCE1;LRAT;ME2;MORC2;KCNJ2;KCNJ3;LRRC69;PAQR7;ZNF283;CADM1;EYA1;MYO10;KCNJ15;SSTR2;MTCYBP18;MAFF;NABP1;MIXL1;RNF122;CDKL1
ZNF433_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.56	0.00	CLEC9A;NREP;PTS;PDCD6IPP2;HCAR1;REV3L;NAA25;ZNF286B;SRGAP3;USP30;C3ORF14;SOX5;CXADR;H3F3B;LMO3;TRPV3;SOX11;TTC19;EIF5;ZNF737;HECW1;C18ORF32;TAF7;TCF4;QRICH2;FGF13;SSBP2;DNASE1L3;CD200
RBM5_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.57	0.00	MACF1;AKNA;DOCK8;MYCBP2;CCDC168;TBC1D3D;PCDH19;AKAP3;N4BP2L2;RCBTB2;CHSY1;ZNF506;WWC3;LINC01347;NSUN5P1;POLR2J2;APAF1;PCGF3;STARD9;FBXO39;TEX35;SOX30;MAPK10;GOLGA8B;GVINP1;PHIP;MDM4;TCF4;MCTP2
ZNF84_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.06	0.00	ZNF254;DCLRE1C;MSANTD4;NREP;N4BP2L2;MFSD8;GNG2;KIAA1841;REV3L;ZNF669;KIF21A;CEP170;SRGAP3;PAK3;MAGI1;STARD4;CXADR;ST8SIA2;H3F3A;PAX3;SOX11;ENOX1;MAPK10;ENAH;GAP43;GSTA4;ZNF714;C18ORF32;FXYD6;PHIP;TCF4;SSBP2;ZNF532;BMPR1A
RBM6_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.57	0.00	DCLRE1C;GPR22;TPTE2P2;N4BP2L2;NCMAP;CCT6P3;STRN3;INPP5B;GOLGA6L9;ZNF506;REV3L;SRGAP3;PBRM1;NSUN5P1;ABCA5;FCRL5;CARD8;STARD9;MAGI2;SOX11;DDHD1;TMEM232;GOLGA8B;PHIP;MDM4;TCF4;PAXBP1;SSBP2;CD200
CBFB_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.58	0.00	RPL3;ARHGAP15;ADRA1B;NR3C1;FAM107B;ELK4;SCGN;SEPT6;IFI16;FRG1CP;TSPAN2;LRRFIP1;GABPA;EIF4B;SUZ12;EDEM1;ATP11B;SMAD5;PTBP3;EEF1A1;CDK5;SERBP1;SRSF2;UBA2;PHIP;ERG;MCM6;B4GALT6;CGGBP1
TCF23_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.58	0.00	ZBTB8A;CRYBB2P1;ATP1A4;CBWD3;TPTE2P2;LYPD5;ZNF8;RAB21;DTWD2;ADAMTS4;SHE;FAM221A;PDCD6IPP2;HCAR1;ZNF506;PLCE1;CCNL1;MFSD4B;CDON;BCAS4;ZNF283;RASL10B;AC083899.1;SSTR2;FAM153C;PTGES3L;SPIRE2;WDPCP;ZNF556
HOXD1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.58	0.00	OCA2;NRP2;CUL7;ST6GALNAC1;PKDCC;STAU1;WISP1;SERPINA5;RAD51AP2;CUX2;OLFML3;KDR;WWC3;ZNF541;TGFB2;ANXA1;TLE1;OSR1;INCA1;FIBCD1;TNFRSF19;NR2F1;CABLES1;ETV5;OSTM1;WT1;VIM;NOTUM;KANK4
HOXB1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.58	0.00	CLEC10A;GPR20;TPGS2;FAM162B;C10ORF105;HAUS7;HMCN2;NRTN;FBXO5;C11ORF45;NUDT15;MEST;CENPV;CCDC137;IGFBP2;SHISA5;TIMM23;ARHGAP28;SCAMP3;GALNS;CLDN6;SFRP2;TCN2;RAB34;MFAP2;APLNR;KANK4;SPSB4;FGF10
ZNF221_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.58	0.00	ZNF254;CRYBB2P1;ZDHHC21;NREP;ZNF8;ZNF321P;FAM221A;GNG2;HCAR1;PIP5KL1;ZNF506;ZNF605;FAM177A1;ZNF286B;ZNF567;BCHE;ANGPT2;CXADR;ZNF283;ST8SIA2;SOX11;GSTA4;ZNF737;ZNF714;C18ORF32;PTGES3L;FKBP7;SSBP2;CD200
DLX1_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.06	0.00	ZNF254;RTN3;MAGED1;NREP;ENO2;KLC1;TPGS2;ACTR1A;GNG2;PCBP4;MBIP;ST8SIA5;CEP170;CKB;KIFAP3;RAB2A;RBFOX2;CXADR;CADM1;H3F3B;SOX11;SLC16A14;RAB33A;AMZ2P1;GSTA4;RRAGB;CSDC2;C18ORF32;C16ORF45;TAF7;FXYD6;TCF4;SSBP2;CD200
E2F5_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.59	0.00	DCLRE1C;GJC1;FAM221A;EPB41L4A;HCAR1;ZNF605;MFSD4B;ZNF121;CENPV;SEMA6A;FCRL5;ZNF480;ZGRF1;MAGI2;PAWR;KLHL23;ARHGAP28;GULP1;HAUS1;MTAP;VANGL2;TEX9;ZNF714;ZNF603P;PHIP;FGF13;ALDH7A1;ZNF431;BMPR1A
IRX5_human_tf_ARCHS4_coexpression	33/299	0.97	1.00	0.00	0.17	0.38	0.09	0.00	CNTFR;KRT80;ANKRD35;SEMA3C;IER5L;CRIP2;GATA3;CELSR1;PTPRF;NPAS3;HID1;MUC1;RHPN1;SOX9;SRGAP3;PATZ1;CACNG4;PLXNA3;CA12;TFAP2C;ALMS1P1;GFRA1;PRLR;ESR1;CNKSR1;ARHGAP32;FASN;GIPC1;TDRD10;TRIM37;FJX1;NES;LLGL2
GTF2IRD2_human_tf_ARCHS4_coexpression	30/299	0.99	1.00	0.00	0.34	0.60	0.35	0.00	ZBTB8A;SLC24A4;CRYBB2P1;TCF23;NKAP;ATP1A4;LYPD5;ZNF8;ADAMTS4;SHE;FAM221A;CLN3;KIAA1328;PDCD6IPP2;HCAR1;ZNF506;PGPEP1;MFSD4B;POLR2J3;BCAS4;MORC4;ZNF283;ABCA9;SSTR2;PTGES3L;SPIRE2;WDPCP;MDM4;ZNF556;ZNF431
ZMAT1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.60	0.00	ZDHHC21;TPGS1;ZNF8;N4BP2L2;ZNF280D;KIAA1328;PDCD6IPP2;CNTRL;EFCAB2;ST3GAL5;SRGAP3;TMED7;SLC36A4;SLC13A4;FEM1B;STARD9;MAGI2;DCLK2;FOS;LZTFL1;PGM5P2;GCFC2;ID4;TLL2;PHIP;MDM4;TCF4;CNTN4;PAXBP1
PROX1_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.06	0.00	ITIH3;SERPINA1;ADH1C;SERPINC1;HPN;ACSM5;PCSK6;PPP1R9A;GTF2E1;C3;ZNF280D;IGSF22;BCL2L13;AOX1;APOB;AGFG2;MEF2A;MAGI1;HES6;SERPIND1;AHSG;BHMT2;VWA5A;SSTR2;NR0B2;MLXIPL;RBP4;TF;IBTK;AMACR;RIMBP2;CPE;HPD;DSCAML1
DMAP1_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.60	0.00	ZNF276;DENND1C;BTG2;CIITA;AKNA;RGS14;LIMD2;RASSF1;SEPT6;DPP7;ZMIZ2;PCED1A;TBC1D10C;ACAA1;MKRN2OS;NSUN5P1;H3F3B;DENND4B;SYTL1;WASH7P;TMC8;DGKZ;EML3;SDHAP3;ZAP70;GVINP1;SELL;PACS1;ENGASE
MIER2_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.60	0.00	IDUA;KCNC4;MPV17L2;TRIOBP;ATXN3;CLN3;MICALL1;NACC1;NDP;RPL23AP88;PGPEP1;PDLIM7;CD276;PLXNA3;PELP1;PLK3;QPCTL;LIMK1;VPS37C;DOHH;EPN1;BYSL;UBE2S;POU2AF1;CARM1;TADA3;ERF;SPIRE2;ENG
ZNF490_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.60	0.00	ZBTB8A;LUZP1;TCF23;ATP1A4;SLCO5A1;LYPD5;ZNF8;ADAMTS4;SHE;FAM221A;EPB41L4A;PDCD6IPP2;HCAR1;ZNF506;FAM177A1;FFAR4;MFSD4B;BCAS4;CENPV;PCDHGA5;FKRP;ZNF283;LAMB4;ARMC10;FAM153C;SPIRE2;MDM4;ZNF556;HAGH
ZNF529_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.14	0.00	CRYBB2P1;TPTE2P2;NREP;LYPD5;ZNF8;N4BP2L2;CCT6P3;CCDC144A;ZNF280D;ADAMTS4;FAM221A;PDCD6IPP2;HCAR1;ZNF506;EFCAB2;KIAA1841;ERC1;AP5S1;MAGI2;ABCA9;SSTR2;C12ORF76;KLF8;GSTA4;TEX9;ZNF714;PXYLP1;WDPCP;FGF13;SSBP2;ZNF431;BMPR1A
ZNF449_human_tf_ARCHS4_coexpression	34/299	0.96	1.00	0.00	0.13	0.30	0.06	0.00	ZNF254;MAGED1;ARL6;CCT4P2;ZDHHC21;NREP;LIN7C;PPP1R9A;KLC1;TEX29;CFL2;KIAA1841;KIFAP3;RAB6A;TAC1;ZNF587B;STARD4;CXADR;CADM1;TMEM178A;TSC22D2;SOX11;NUP93;ENAH;NEIL2;GSTA4;NAV3;TBL1XR1;BMT2;C18ORF32;CALU;COPS8;CD200;FGF10
ZNF441_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.61	0.00	SHC4;USP37;DCLRE1C;N4BP2L2;LCLAT1;CCDC144A;EPB41L4A;TRIM4;REV3L;ZNF286B;KIFAP3;PAK3;SLC10A7;H3F3B;FCRL5;ZNF480;NTRK3;MAGI2;ABCA9;TEX35;ARHGAP28;DDHD1;SSTR2;MAPK10;RPS4XP5;TEX9;WDPCP;TCF4;FGF13
ZNF44_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.61	0.00	SAMD5;SHC4;CRYBB2P1;N4BP2L2;CCDC144A;FAM221A;KIAA1328;PDCD6IPP2;HCAR1;TRIM4;ZNF506;EFCAB2;FFAR4;CEP68;MORC4;ZNF480;RECQL;ABCA9;TEX35;ARHGAP28;DDHD1;C12ORF76;AGBL4;RPS4XP5;TEX9;BMT2;C18ORF32;WDPCP;MDM4
MATR3_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.14	0.00	PIWIL2;CNTFR;CMAS;TMEM41A;ZFAND6;GATA5;CENPA;SERPINA5;HERC5;PRPSAP1;FAM162B;PRKAR2B;ZMYM4;GTF2IP4;ADORA1;MAEL;ZNF501;BTRC;RPRM;CNTNAP3P1;LVRN;CTPS2;FMO4;USP28;GCFC2;TBC1D1;MSH2;WT1;KIT;TBCE;MAFF;PRKD1
OTX1_human_tf_ARCHS4_coexpression	32/299	0.98	1.00	0.00	0.22	0.45	0.14	0.00	CRB2;MINOS1P2;SLC2A1;AOC4P;DTX4;DNALI1;FAM216A;DACH1;EFS;SRGAP3;SLC16A2;ZNF521;CDON;TMEM132C;CENPV;H3F3A;NR2F1;HUNK;SOX11;MAPK15;SORCS2;C9ORF116;WDR54;VANGL2;TMEM98;SMO;ARMC10;MFAP2;SPIRE2;PHIP;SPSB4;RNF165
ZNF440_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.61	0.00	SPEF2;C2ORF40;LRRC10B;CCDC146;DNAH9;ZNF8;ABCA13;WFDC2;DNALI1;FAM221A;HCAR1;TCTN2;ZNF506;EFCAB2;ARID2;GAS2L2;DNAI1;MFSD4B;DNAH10;MORC4;RABL2B;MAPK15;TSPAN19;SPIRE2;WDPCP;ECT2L;CFAP53;SAXO2;DRC3
ZNF616_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.63	0.00	ZBTB8A;ISYNA1;NKAP;ADCY2;KIAA1210;LYPD5;ZNF8;INPP5B;ADAMTS4;SENP6;FAM221A;ATXN3;CLN3;HCAR1;ZNF506;FAM177A1;ZNF624;KCNJ15;PRSS53;KLF8;AGBL4;MTAP;RAET1E;FAM153C;SPIRE2;WDPCP;ZNF556;KIAA1958;CCDC150
HOXB2_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.63	0.00	FOXC1;CCL4L2;CST7;LIMD2;DDA1;PTBP1;TRBC1;RAC2;SDF4;TMEM109;PRAME;SERF2;HERC6;NFE2;LAG3;TRAPPC1;ZDHHC12;WASH7P;ATAD3A;EML3;DHRS4;CD2;UBE2S;ERF;NUCB1;FIZ1;PTPN7;CD69;HOXB7
ZNF251_human_tf_ARCHS4_coexpression	29/299	1.00	1.00	0.00	0.41	0.68	0.63	0.00	SHC4;ZFAND6;GPR22;NREP;C14ORF93;PPP1R9A;STRN3;LDHC;ACTG1P23;PODNL1;ZNF286B;CEP170;C3ORF14;CDON;SBSPON;CXADR;FCRL5;SOX11;KLF8;DAB1;NAV3;TBL1XR1;ID4;TBC1D24;NMT2;TCF4;CCDC150;UBE2Q2P2;RNF165
